"pais";"regiao";"quantidadeIPs"
"-";"-";30
"Algeria";"Annaba";1
"Australia";"Australian Capital Territory";1
"Australia";"Queensland";1
"Australia";"South Australia";1
"Belgium";"Brussels Hoofdstedelijk Gewest";1
"Brazil";"Maranhao";1
"Brazil";"Minas Gerais";1
"Brazil";"Rio Grande do Sul";1
"Brazil";"Sao Paulo";1
"Bulgaria";"Varna";1
"Canada";"Manitoba";1
"Canada";"Ontario";2
"China";"Beijing";4
"China";"Chongqing";1
"China";"Guangdong";2
"China";"Guizhou";1
"China";"Henan";1
"China";"Jiangxi";2
"China";"Liaoning";1
"China";"Nei Mongol";1
"China";"Shandong";1
"China";"Shanxi";1
"China";"Sichuan";1
"China";"Zhejiang";1
"Colombia";"Caldas";1
"Denmark";"Midtjylland";1
"Denmark";"Sjelland";1
"Egypt";"Al Qahirah";1
"Finland";"Pirkanmaa";2
"Finland";"Uusimaa";2
"France";"Ile-de-France";1
"Germany";"Baden-Wurttemberg";1
"Germany";"Rheinland-Pfalz";1
"Hong Kong";"Hong Kong (SAR)";1
"India";"Haryana";1
"India";"Karnataka";2
"Japan";"Fukushima";1
"Japan";"Hyogo";2
"Japan";"Ibaraki";1
"Japan";"Osaka";1
"Japan";"Saga";1
"Japan";"Tokyo";5
"Japan";"Wakayama";1
"Korea, Republic of";"Gwangju";1
"Korea, Republic of";"Seoul";7
"Mauritius";"Port Louis";1
"Mexico";"Coahuila";1
"Mexico";"Sinaloa";1
"Morocco";"Rabat-Sale-Zemmour-Zaer";1
"Nepal";"Bagmati";1
"Netherlands";"Zuid-Holland";2
"Pakistan";"Islamabad";1
"Poland";"Malopolskie";1
"Poland";"Wielkopolskie";1
"Portugal";"Lisboa";1
"Russian Federation";"Altayskiy kray";1
"Russian Federation";"Novgorodskaya oblast'";1
"Saudi Arabia";"Ar Riyad";1
"Senegal";"Dakar";1
"South Africa";"Gauteng";2
"Sweden";"Norrbottens Lan";1
"Sweden";"Stockholms Lan";4
"Sweden";"Vastra Gotaland";1
"Switzerland";"Vaud";1
"Switzerland";"Zurich";1
"Taiwan, Province of China";"T'ai-wan";1
"Turkey";"Istanbul";1
"United Arab Emirates";"Ash Shariqah";1
"United Arab Emirates";"Dubayy";1
"United Kingdom";"England";6
"United States";"Arizona";5
"United States";"California";14
"United States";"Colorado";1
"United States";"Connecticut";1
"United States";"Georgia";1
"United States";"Illinois";3
"United States";"Indiana";4
"United States";"Louisiana";1
"United States";"Massachusetts";1
"United States";"Michigan";3
"United States";"Missouri";1
"United States";"Montana";1
"United States";"New Mexico";1
"United States";"New York";3
"United States";"North Carolina";2
"United States";"Ohio";10
"United States";"Pennsylvania";4
"United States";"South Carolina";1
"United States";"Tennessee";1
"United States";"Texas";6
"United States";"Virginia";3
"United States";"Washington";1
"Venezuela, Bolivarian Republic of";"Distrito Federal";1
"Viet Nam";"Ho Chi Minh";1
